ticker,company,exchange,ipoDate,currentPrice,ipoAvwap,distancePct,historyRows,latestBarDate,status,dataMode,tvSymbol
SCTX,Scribe Therapeutics,NASDAQ,2026-08-14,28.84,30.83,-6.45,10,2026-08-27,Below,live,NASDAQ:SCTX
IOND,Ionic Digital,NASDAQ,2026-08-12,72.02,66.47,8.35,12,2026-08-27,Above,live,NASDAQ:IOND
